host,phage,time,N,OD600,sd,se,ci
AH17E146,øEnA02,5.98777777777778,6,0.09333333333333332,0.0063456021516217565,0.002590581230363393,0.006659301054512511
AH17E146,øEnA02,6.23777777777778,6,0.09333333333333332,0.0063456021516217565,0.002590581230363393,0.006659301054512511
AH17E146,øEnA02,6.48777777777778,6,0.09316666666666666,0.005946988033169956,0.002427847697950686,0.006240981192043473
AH17E146,øEnA02,6.73777777777778,6,0.09316666666666666,0.005946988033169956,0.002427847697950686,0.006240981192043473
AH17E146,øEnA02,6.98777777777778,6,0.09316666666666666,0.005946988033169956,0.002427847697950686,0.006240981192043473
AH17E146,øEnA02,7.23777777777778,6,0.09316666666666666,0.005946988033169956,0.002427847697950686,0.006240981192043473
AH17E146,øEnA02,7.48777777777778,6,0.09316666666666666,0.005946988033169956,0.002427847697950686,0.006240981192043473
AH17E146,øEnA02,7.73777777777778,6,0.093,0.005966573556070519,0.0024358434541926813,0.006261534937801322
AH17E146,øEnA02,7.98777777777778,6,0.09316666666666666,0.005946988033169956,0.002427847697950686,0.006240981192043473
AH17E146,øEnA02,8.23777777777778,6,0.093,0.005966573556070519,0.0024358434541926813,0.006261534937801322
AH17E146,øEnA02,8.48777777777778,6,0.093,0.005966573556070519,0.0024358434541926813,0.006261534937801322
AH17E146,øEnA02,8.73777777777778,6,0.093,0.005966573556070519,0.0024358434541926813,0.006261534937801322
AH17E146,øEnA02,8.98777777777778,6,0.093,0.005966573556070519,0.0024358434541926813,0.006261534937801322
AH17E146,øEnA02,9.23777777777778,6,0.093,0.005966573556070519,0.0024358434541926813,0.006261534937801322
AH17E146,øEnA02,9.48777777777778,6,0.09283333333333332,0.005564770136013406,0.0022718078948518318,0.005839868108561292
AH17E146,øEnA02,9.73777777777778,6,0.093,0.005549774770204643,0.002265686062395524,0.005824131437248297
AH17E146,øEnA02,9.98777777777778,6,0.09283333333333332,0.005564770136013406,0.0022718078948518318,0.005839868108561292
AH17E146,øEnA02,10.2377777777778,6,0.09283333333333332,0.005564770136013406,0.0022718078948518318,0.005839868108561292
AH17E146,øEnA02,10.4877777777778,6,0.09283333333333332,0.005564770136013406,0.0022718078948518318,0.005839868108561292
AH17E146,øEnA02,10.7377777777778,6,0.09283333333333332,0.005564770136013406,0.0022718078948518318,0.005839868108561292
AH17E146,øEnA02,10.9877777777778,6,0.09283333333333332,0.005564770136013406,0.0022718078948518318,0.005839868108561292
AH17E146,øEnA02,11.2377777777778,6,0.09283333333333332,0.005564770136013406,0.0022718078948518318,0.005839868108561292
AH17E146,øEnA02,11.4877777777778,6,0.09283333333333332,0.005564770136013406,0.0022718078948518318,0.005839868108561292
AH17E146,øEnA02,11.7377777777778,6,0.09283333333333332,0.005564770136013406,0.0022718078948518318,0.005839868108561292
AH17E146,øEnA02,11.9877777777778,6,0.09266666666666666,0.005680375574437544,0.0023190036174568114,0.005961188575809382
