Phage,Host,Time,N,OD600,sd,se,ci
øEnA02,CPO165,22.7377777777778,1,1.486,NA,NA,NA
øEnA02,CPO165,22.9877777777778,1,1.488,NA,NA,NA
øEnA02,CPO165,23.2377777777778,1,NA,NA,NA,NA
øEnA02,CPO165,23.4877777777778,1,NA,NA,NA,NA
øEnA02,CPO165,23.7377777777778,1,NA,NA,NA,NA
øEnA02,CPO165,23.9877777777778,1,NA,NA,NA,NA
øEnA02,CPO165,NA,1,NA,NA,NA,NA
øEnA02,CPO448,0.237777777777778,2,0.2005,0.010606601717798203,0.007499999999999993,0.09529653552131011
øEnA02,CPO448,0.487777777777778,2,0.224,0.01131370849898477,0.008000000000000007,0.10164963788939763
øEnA02,CPO448,0.737777777777778,2,0.267,0.01131370849898477,0.008000000000000007,0.10164963788939763
øEnA02,CPO448,0.987777777777778,2,0.316,0.009899494936611674,0.007000000000000005,0.08894343315322291
øEnA02,CPO448,1.23777777777778,2,0.367,0.007071067811865481,0.0050000000000000044,0.06353102368087352
øEnA02,CPO448,1.48777777777778,2,0.459,0.012727922061357866,0.009000000000000006,0.11435584262557232
øEnA02,CPO448,1.73777777777778,2,0.5885,0.01626345596729061,0.01150000000000001,0.1461213544660091
øEnA02,CPO448,1.98777777777778,2,0.704,0.019798989873223347,0.01400000000000001,0.17788686630644582
øEnA02,CPO448,2.23777777777778,2,0.789,0.018384776310850254,0.013000000000000012,0.16518066157027114
øEnA02,CPO448,2.48777777777778,2,0.852,0.018384776310850254,0.013000000000000012,0.16518066157027114
øEnA02,CPO448,2.73777777777778,2,0.906,0.01555634918610406,0.01100000000000001,0.13976825209792174
øEnA02,CPO448,2.98777777777778,2,0.951,0.012727922061357866,0.009000000000000006,0.11435584262557232
øEnA02,CPO448,3.23777777777778,2,0.9864999999999999,0.010606601717798222,0.007500000000000006,0.09529653552131026
øEnA02,CPO448,3.48777777777778,2,1.0185,0.006363961030678855,0.0044999999999999485,0.057177921312785464
