phage,combination,time,N,OD600,sd,se,ci
APO57,EnC07_R2,9.98777777777778,6,1.4961666666666666,0.021254803378687483,0.008677237143494705,0.02230554818457622
APO57,EnC07_R2,10.2377777777778,6,1.5045,0.021915747762738958,0.00894706655837541,0.022999166777188936
APO57,EnC07_R2,10.4877777777778,6,1.5133333333333332,0.022905603390145964,0.009351173426070355,0.02403795655094145
APO57,EnC07_R2,10.7377777777778,6,1.5218333333333334,0.023163908708736195,0.009456626130802542,0.024309031358244727
APO57,EnC07_R2,10.9877777777778,6,1.5301666666666667,0.023370208956418538,0.009540847854241129,0.024525530190681946
APO57,EnC07_R2,11.2377777777778,6,1.5386666666666666,0.023088236543024818,0.009425733098515174,0.024229618290599095
APO57,EnC07_R2,11.4877777777778,6,1.547,0.02265391798343062,0.009248423289044115,0.023773828915092655
APO57,EnC07_R2,11.7377777777778,6,1.5543333333333333,0.023062234641653183,0.009415117866731394,0.02420233096859464
APO57,EnC07_R2,11.9877777777778,6,1.5613333333333332,0.023389456314046052,0.00954870555508851,0.024545729053750086
APO57,EnC07_R2,12.2377777777778,6,1.5681666666666667,0.024522778526640667,0.010011382410924983,0.025735077775132644
APO57,EnC07_R2,12.4877777777778,6,1.5748333333333333,0.024774314655842008,0.010114071605661327,0.025999048753838013
APO57,EnC07_R2,12.7377777777778,6,1.581,0.025250742563338615,0.010308572484426093,0.02649902917980602
APO57,EnC07_R2,12.9877777777778,6,1.587,0.025674890457409963,0.010481730137084568,0.026944145096431317
APO57,EnC07_R2,13.2377777777778,6,1.5928333333333333,0.026626427974226454,0.01087019370163713,0.02794272247927667
APO57,EnC07_R2,13.4877777777778,6,1.5986666666666667,0.026424735886412705,0.01078785325158708,0.02773105961403989
APO57,EnC07_R2,13.7377777777778,6,1.6038333333333332,0.026925205044097036,0.010992168929641596,0.02825626978478255
APO57,EnC07_R2,13.9877777777778,6,1.6093333333333333,0.027171063038951327,0.011092540035737735,0.02851428192693601
APO57,EnC07_R2,14.2377777777778,6,1.6145,0.027725439581727084,0.011318863311599205,0.02909606442884721
APO57,EnC07_R2,14.4877777777778,6,1.6193333333333333,0.028239452308192255,0.01152870812845528,0.029635487703359865
APO57,EnC07_R2,14.7377777777778,6,1.6235,0.028661821295933046,0.01170113954564541,0.03007873677228184
APO57,EnC07_R2,14.9877777777778,6,1.6278333333333332,0.029013215379662217,0.011844595579606959,0.030447502247395824
APO57,EnC07_R2,15.2377777777778,6,1.6320000000000001,0.029434673431176346,0.012016655108639833,0.03088979534737587
APO57,EnC07_R2,15.4877777777778,6,1.6361666666666665,0.029512144392887903,0.012048282496319168,0.030971096135652996
